=====================================================
Nueva instancia TEST
=====================================================
images\orl_db\
-------- INICIO ENTRENAMIENTO --------
------- CALCULO CONVARIANZA -------
PCA - Msg - Tiempo calcular Covarianza: 7segs.
------- OBTENGO AUTEVECTORES/AUTOVALORES -------
PCA - Msg - Tiempo calcular Autovectores: 44segs.
------- OBTENGO MATRIZ DE PROYECCION -------
PCA - Msg - Tiempo obtener Autovectores mas significativos: 0segs.
--------  FIN ENTRENAMIENTO --------
Cantidad Entrenamiento: 5
Cantidad Referencia: 9
Entrada Nombre;Entrada Foto;Distancia;Encontrada Nombre;Encontrada Foto;Coincidencia
s01;10;18,189607138552482;s01;08;Si
s02;10;9,26911847203745;s02;07;Si
s03;10;8,263986796284806;s03;09;Si
s04;10;12,109573365297544;s04;05;Si
s05;10;14,54098276149152;s40;05;No
s06;10;6,31197254316516;s06;04;Si
s07;10;12,869519906228444;s07;02;Si
s08;10;8,849510231167734;s08;03;Si
s09;10;14,191063442420363;s09;05;Si
s10;10;8,613310378954097;s10;02;Si
s11;10;17,408710151333253;s27;07;No
s12;10;17,632534226017665;s05;09;No
s13;10;6,945221527359915;s13;05;Si
s14;10;14,107847681807597;s14;09;Si
s15;10;12,58695719870839;s15;02;Si
s16;10;12,597816396593796;s16;03;Si
s17;10;7,757315926268778;s17;07;Si
s18;10;14,633158453513445;s18;06;Si
s19;10;9,144343577965337;s19;01;Si
s20;10;9,85794223594388;s20;02;Si
s21;10;9,13135494176843;s21;08;Si
s22;10;13,022267302725805;s22;02;Si
s23;10;9,806425751962031;s23;01;Si
s24;10;10,59884326844014;s24;09;Si
s25;10;10,73831293817314;s25;03;Si
s26;10;5,874521011517923;s26;08;Si
s27;10;10,40383350181933;s27;01;Si
s28;10;14,854125415108857;s28;03;Si
s29;10;16,4059992670726;s29;07;Si
s30;10;10,188293195289168;s30;01;Si
s31;10;13,718724512177745;s31;05;Si
s32;10;8,984287285680388;s32;06;Si
s33;10;4,3153712136383175;s33;02;Si
s34;10;5,767467408919569;s34;09;Si
s35;10;18,48712535140237;s35;05;Si
s36;10;15,125257357813998;s36;09;Si
s37;10;8,32879722078472;s37;09;Si
s38;10;7,7920983852550805;s38;05;Si
s39;10;17,51489358229559;s39;06;Si
s40;10;16,50995991311145;s40;04;Si
